"addr","balance"
0x1b3a2d1bd1f61f5ac096a766474bc086f51b046b,45
0x2a51072031b441879a8a4fd136563a1c640084bb,51
0x4716b81df8560f294de6b3d994cb2c1140a94405,48
0x53fa407e8b4806b1ad580e03b0c4956b6762f707,2983998062
0x64d3f8d51044d03050953d794390ab174e4ee352,38
0x75190c4ad58f04fbc55c6d1457e64f21e4de1322,99
0x7808089783fc605346aaa4ab15ed62ec4432444a,48
0x8ae185cdc2ca237fab0d3eeae5759bb70765a79d,42
0x9324744f20de322151f696bc9e31389870ad7ea1,70
0xa12431d0b9db640034b0cdfceef9cce161e62be4,2744980
0xa4ed577f287065f204d686d3eb294b98d273f1ec,144
0xb6ba841fe63a2d1ac17ba9de22fa535a3df7f668,74
0xbc081ee3b951f8f1358f1b86f21c0ecb62d0976b,41
0xd4a1c9b516d96ac445b0f559fd1c1424e81dc9bd,40
0xedc55ef9e2581ea88fffb476920b6eb61154f562,81
0xf70903a434ae045f346921e9ca9100290e5b88ce,51
